,Date,Time,No. of Transactions
0,2019-01-07,06:30:00,3
1,2019-01-07,06:45:00,1
2,2019-01-07,07:00:00,7
3,2019-01-07,07:15:00,10
4,2019-01-07,07:30:00,11
5,2019-01-07,07:45:00,23
6,2019-01-07,08:00:00,29
7,2019-01-07,08:15:00,13
8,2019-01-07,08:30:00,27
9,2019-01-07,08:45:00,37
10,2019-01-07,09:00:00,40
11,2019-01-07,09:15:00,61
12,2019-01-07,09:30:00,82
13,2019-01-07,09:45:00,50
14,2019-01-07,10:00:00,49
15,2019-01-07,10:15:00,59
16,2019-01-07,10:30:00,87
17,2019-01-07,10:45:00,60
18,2019-01-07,11:00:00,65
19,2019-01-07,11:15:00,79
20,2019-01-07,11:30:00,79
21,2019-01-07,11:45:00,65
22,2019-01-07,12:00:00,72
23,2019-01-07,12:15:00,72
24,2019-01-07,12:30:00,105
25,2019-01-07,12:45:00,58
26,2019-01-07,13:00:00,68
27,2019-01-07,13:15:00,49
28,2019-01-07,13:30:00,64
29,2019-01-07,13:45:00,44
30,2019-01-07,14:00:00,55
31,2019-01-07,14:15:00,48
32,2019-01-07,14:30:00,48
33,2019-01-07,14:45:00,39
34,2019-01-07,15:00:00,35
35,2019-01-07,15:15:00,31
36,2019-01-07,15:30:00,48
37,2019-01-07,15:45:00,25
38,2019-01-07,16:00:00,22
39,2019-01-07,16:15:00,37
40,2019-01-07,16:30:00,27
41,2019-01-07,16:45:00,23
42,2019-01-07,17:00:00,17
43,2019-01-07,17:15:00,12
44,2019-01-07,17:30:00,11
45,2019-01-07,17:45:00,7
46,2019-01-07,18:00:00,8
47,2019-01-07,18:15:00,8
48,2019-01-07,18:30:00,9
49,2019-01-07,18:45:00,9
50,2019-01-07,19:00:00,5
51,2019-01-07,19:15:00,5
52,2019-01-07,19:30:00,5
53,2019-01-07,20:15:00,3
54,2019-01-07,20:45:00,2
55,2019-01-08,06:30:00,2
56,2019-01-08,07:00:00,6
57,2019-01-08,07:15:00,11
58,2019-01-08,07:30:00,18
59,2019-01-08,07:45:00,13
60,2019-01-08,08:00:00,27
61,2019-01-08,08:15:00,27
62,2019-01-08,08:30:00,17
63,2019-01-08,08:45:00,19
64,2019-01-08,09:00:00,35
65,2019-01-08,09:15:00,31
66,2019-01-08,09:30:00,44
67,2019-01-08,09:45:00,52
68,2019-01-08,10:00:00,103
69,2019-01-08,10:15:00,84
70,2019-01-08,10:30:00,55
71,2019-01-08,10:45:00,53
72,2019-01-08,11:00:00,52
73,2019-01-08,11:15:00,51
74,2019-01-08,11:30:00,62
75,2019-01-08,11:45:00,54
76,2019-01-08,12:00:00,71
77,2019-01-08,12:15:00,65
78,2019-01-08,12:30:00,99
79,2019-01-08,12:45:00,61
80,2019-01-08,13:00:00,68
81,2019-01-08,13:15:00,72
82,2019-01-08,13:30:00,56
83,2019-01-08,13:45:00,53
84,2019-01-08,14:00:00,58
85,2019-01-08,14:15:00,44
86,2019-01-08,14:30:00,56
87,2019-01-08,14:45:00,35
88,2019-01-08,15:00:00,57
89,2019-01-08,15:15:00,36
90,2019-01-08,15:30:00,50
91,2019-01-08,15:45:00,29
92,2019-01-08,16:00:00,36
93,2019-01-08,16:15:00,25
94,2019-01-08,16:30:00,25
95,2019-01-08,16:45:00,31
96,2019-01-08,17:00:00,16
97,2019-01-08,17:15:00,23
98,2019-01-08,17:30:00,23
99,2019-01-08,17:45:00,10
100,2019-01-08,18:00:00,11
101,2019-01-08,18:15:00,4
102,2019-01-08,18:30:00,4
103,2019-01-08,18:45:00,3
104,2019-01-08,19:00:00,13
105,2019-01-08,19:15:00,5
106,2019-01-08,19:30:00,3
107,2019-01-08,19:45:00,4
108,2019-01-08,20:00:00,9
109,2019-01-08,20:15:00,3
110,2019-01-08,20:30:00,4
111,2019-01-08,20:45:00,3
112,2019-01-09,06:30:00,4
113,2019-01-09,07:00:00,6
114,2019-01-09,07:15:00,9
115,2019-01-09,07:30:00,7
116,2019-01-09,07:45:00,21
117,2019-01-09,08:00:00,26
118,2019-01-09,08:15:00,28
119,2019-01-09,08:30:00,19
120,2019-01-09,08:45:00,22
121,2019-01-09,09:00:00,30
122,2019-01-09,09:15:00,57
123,2019-01-09,09:30:00,61
124,2019-01-09,09:45:00,50
125,2019-01-09,10:00:00,64
126,2019-01-09,10:15:00,60
127,2019-01-09,10:30:00,98
128,2019-01-09,10:45:00,50
129,2019-01-09,11:00:00,78
130,2019-01-09,11:15:00,71
131,2019-01-09,11:30:00,95
132,2019-01-09,11:45:00,62
133,2019-01-09,12:00:00,61
134,2019-01-09,12:15:00,82
135,2019-01-09,12:30:00,117
136,2019-01-09,12:45:00,62
137,2019-01-09,13:00:00,74
138,2019-01-09,13:15:00,69
139,2019-01-09,13:30:00,70
140,2019-01-09,13:45:00,57
141,2019-01-09,14:00:00,51
142,2019-01-09,14:15:00,62
143,2019-01-09,14:30:00,69
144,2019-01-09,14:45:00,40
145,2019-01-09,15:00:00,43
146,2019-01-09,15:15:00,39
147,2019-01-09,15:30:00,46
148,2019-01-09,15:45:00,34
149,2019-01-09,16:00:00,25
150,2019-01-09,16:15:00,41
151,2019-01-09,16:30:00,33
152,2019-01-09,16:45:00,37
153,2019-01-09,17:00:00,27
154,2019-01-09,17:15:00,30
155,2019-01-09,17:30:00,25
156,2019-01-09,17:45:00,17
157,2019-01-09,18:00:00,16
158,2019-01-09,18:15:00,19
159,2019-01-09,18:30:00,5
160,2019-01-09,18:45:00,9
161,2019-01-09,19:00:00,1
162,2019-01-09,19:15:00,9
163,2019-01-09,19:30:00,11
164,2019-01-09,19:45:00,12
165,2019-01-09,20:00:00,9
166,2019-01-09,20:15:00,1
167,2019-01-09,20:30:00,3
168,2019-01-09,20:45:00,1
169,2019-01-10,06:15:00,2
170,2019-01-10,06:30:00,2
171,2019-01-10,07:00:00,6
172,2019-01-10,07:15:00,8
173,2019-01-10,07:30:00,7
174,2019-01-10,07:45:00,29
175,2019-01-10,08:00:00,33
176,2019-01-10,08:15:00,24
177,2019-01-10,08:30:00,14
178,2019-01-10,08:45:00,26
179,2019-01-10,09:00:00,32
180,2019-01-10,09:15:00,43
181,2019-01-10,09:30:00,58
182,2019-01-10,09:45:00,48
183,2019-01-10,10:00:00,67
184,2019-01-10,10:15:00,64
185,2019-01-10,10:30:00,60
186,2019-01-10,10:45:00,37
187,2019-01-10,11:00:00,52
188,2019-01-10,11:15:00,61
189,2019-01-10,11:30:00,91
190,2019-01-10,11:45:00,63
191,2019-01-10,12:00:00,70
192,2019-01-10,12:15:00,80
193,2019-01-10,12:30:00,88
194,2019-01-10,12:45:00,68
195,2019-01-10,13:00:00,86
196,2019-01-10,13:15:00,63
197,2019-01-10,13:30:00,71
198,2019-01-10,13:45:00,57
199,2019-01-10,14:00:00,78
200,2019-01-10,14:15:00,58
201,2019-01-10,14:30:00,74
202,2019-01-10,14:45:00,39
203,2019-01-10,15:00:00,52
204,2019-01-10,15:15:00,51
205,2019-01-10,15:30:00,48
206,2019-01-10,15:45:00,41
207,2019-01-10,16:00:00,41
208,2019-01-10,16:15:00,49
209,2019-01-10,16:30:00,29
210,2019-01-10,16:45:00,25
211,2019-01-10,17:00:00,24
212,2019-01-10,17:15:00,33
213,2019-01-10,17:30:00,31
214,2019-01-10,17:45:00,20
215,2019-01-10,18:00:00,22
216,2019-01-10,18:15:00,16
217,2019-01-10,18:30:00,3
218,2019-01-10,18:45:00,4
219,2019-01-10,19:00:00,7
220,2019-01-10,19:15:00,4
221,2019-01-10,19:30:00,6
222,2019-01-10,19:45:00,2
223,2019-01-10,20:00:00,1
224,2019-01-10,20:15:00,4
225,2019-01-10,20:30:00,3
226,2019-01-10,20:45:00,3
227,2019-01-11,06:30:00,4
228,2019-01-11,07:00:00,5
229,2019-01-11,07:15:00,8
230,2019-01-11,07:30:00,16
231,2019-01-11,08:00:00,35
232,2019-01-11,08:15:00,30
233,2019-01-11,08:30:00,20
234,2019-01-11,08:45:00,20
235,2019-01-11,09:00:00,49
236,2019-01-11,09:15:00,58
237,2019-01-11,09:30:00,69
238,2019-01-11,09:45:00,39
239,2019-01-11,10:00:00,46
240,2019-01-11,10:15:00,73
241,2019-01-11,10:30:00,90
242,2019-01-11,10:45:00,42
243,2019-01-11,11:00:00,63
244,2019-01-11,11:15:00,80
245,2019-01-11,11:30:00,78
246,2019-01-11,11:45:00,77
247,2019-01-11,12:00:00,72
248,2019-01-11,12:15:00,93
249,2019-01-11,12:30:00,89
250,2019-01-11,12:45:00,60
251,2019-01-11,13:00:00,64
252,2019-01-11,13:15:00,71
253,2019-01-11,13:30:00,78
254,2019-01-11,13:45:00,44
255,2019-01-11,14:00:00,43
256,2019-01-11,14:15:00,50
257,2019-01-11,14:30:00,44
258,2019-01-11,14:45:00,38
259,2019-01-11,15:00:00,33
260,2019-01-11,15:15:00,46
261,2019-01-11,15:30:00,34
262,2019-01-11,15:45:00,20
263,2019-01-11,16:00:00,23
264,2019-01-11,16:15:00,20
265,2019-01-11,16:30:00,16
266,2019-01-11,16:45:00,15
267,2019-01-11,17:00:00,12
268,2019-01-11,17:15:00,9
269,2019-01-11,17:30:00,15
270,2019-01-11,17:45:00,4
271,2019-01-11,18:00:00,9
272,2019-01-11,18:30:00,4
273,2019-01-11,18:45:00,5
274,2019-01-11,19:00:00,4
275,2019-01-11,19:15:00,1
276,2019-01-11,19:30:00,2
277,2019-01-11,19:45:00,2
278,2019-01-11,20:00:00,2
279,2019-01-11,20:15:00,2
280,2019-01-12,07:30:00,1
281,2019-01-12,07:45:00,1
282,2019-01-12,08:00:00,1
283,2019-01-12,08:15:00,3
284,2019-01-12,08:30:00,5
285,2019-01-12,08:45:00,2
286,2019-01-12,09:00:00,2
287,2019-01-12,09:15:00,1
288,2019-01-12,09:30:00,2
289,2019-01-12,09:45:00,3
290,2019-01-12,10:00:00,2
291,2019-01-12,10:15:00,2
292,2019-01-12,10:30:00,7
293,2019-01-12,10:45:00,5
294,2019-01-12,11:00:00,3
295,2019-01-12,11:15:00,9
296,2019-01-12,11:30:00,2
297,2019-01-12,11:45:00,12
298,2019-01-12,12:00:00,14
299,2019-01-12,12:15:00,17
300,2019-01-12,12:30:00,14
301,2019-01-12,12:45:00,9
302,2019-01-12,13:00:00,15
303,2019-01-12,13:15:00,11
304,2019-01-12,13:30:00,8
305,2019-01-12,13:45:00,4
306,2019-01-12,14:00:00,9
307,2019-01-12,14:15:00,9
308,2019-01-12,14:30:00,14
309,2019-01-12,14:45:00,9
310,2019-01-12,15:00:00,8
311,2019-01-12,15:15:00,7
312,2019-01-12,15:30:00,7
313,2019-01-12,15:45:00,3
314,2019-01-12,16:00:00,5
315,2019-01-12,16:15:00,7
316,2019-01-12,16:30:00,17
317,2019-01-12,16:45:00,6
318,2019-01-12,17:00:00,4
319,2019-01-12,17:15:00,6
320,2019-01-12,17:30:00,3
321,2019-01-12,18:00:00,4
322,2019-01-12,18:15:00,4
323,2019-01-12,18:30:00,4
324,2019-01-12,18:45:00,4
325,2019-01-12,19:00:00,4
326,2019-01-12,19:15:00,2
327,2019-01-12,19:30:00,2
328,2019-01-12,19:45:00,2
329,2019-01-12,20:00:00,5
330,2019-01-12,20:15:00,3
331,2019-01-12,20:30:00,2
332,2019-01-12,20:45:00,1
333,2019-01-14,06:30:00,3
334,2019-01-14,06:45:00,1
335,2019-01-14,07:00:00,5
336,2019-01-14,07:15:00,13
337,2019-01-14,07:30:00,8
338,2019-01-14,07:45:00,23
339,2019-01-14,08:00:00,31
340,2019-01-14,08:15:00,21
341,2019-01-14,08:30:00,28
342,2019-01-14,08:45:00,21
343,2019-01-14,09:00:00,44
344,2019-01-14,09:15:00,60
345,2019-01-14,09:30:00,80
346,2019-01-14,09:45:00,40
347,2019-01-14,10:00:00,63
348,2019-01-14,10:15:00,65
349,2019-01-14,10:30:00,91
350,2019-01-14,10:45:00,46
351,2019-01-14,11:00:00,72
352,2019-01-14,11:15:00,48
353,2019-01-14,11:30:00,97
354,2019-01-14,11:45:00,61
355,2019-01-14,12:00:00,51
356,2019-01-14,12:15:00,79
357,2019-01-14,12:30:00,114
358,2019-01-14,12:45:00,73
359,2019-01-14,13:00:00,63
360,2019-01-14,13:15:00,49
361,2019-01-14,13:30:00,87
362,2019-01-14,13:45:00,51
363,2019-01-14,14:00:00,68
364,2019-01-14,14:15:00,76
365,2019-01-14,14:30:00,71
366,2019-01-14,14:45:00,52
367,2019-01-14,15:00:00,55
368,2019-01-14,15:15:00,52
369,2019-01-14,15:30:00,78
370,2019-01-14,15:45:00,27
371,2019-01-14,16:00:00,35
372,2019-01-14,16:15:00,47
373,2019-01-14,16:30:00,35
374,2019-01-14,16:45:00,20
375,2019-01-14,17:00:00,23
376,2019-01-14,17:15:00,27
377,2019-01-14,17:30:00,16
378,2019-01-14,17:45:00,21
379,2019-01-14,18:00:00,16
380,2019-01-14,18:15:00,12
381,2019-01-14,18:30:00,5
382,2019-01-14,18:45:00,7
383,2019-01-14,19:00:00,7
384,2019-01-14,19:15:00,8
385,2019-01-14,19:30:00,7
386,2019-01-14,19:45:00,4
387,2019-01-14,20:00:00,2
388,2019-01-14,20:15:00,1
389,2019-01-14,20:30:00,4
390,2019-01-14,20:45:00,4
391,2019-01-15,06:30:00,2
392,2019-01-15,07:00:00,7
393,2019-01-15,07:15:00,9
394,2019-01-15,07:30:00,11
395,2019-01-15,07:45:00,26
396,2019-01-15,08:00:00,35
397,2019-01-15,08:15:00,26
398,2019-01-15,08:30:00,27
399,2019-01-15,08:45:00,20
400,2019-01-15,09:00:00,34
401,2019-01-15,09:15:00,54
402,2019-01-15,09:30:00,53
403,2019-01-15,09:45:00,49
404,2019-01-15,10:00:00,70
405,2019-01-15,10:15:00,75
406,2019-01-15,10:30:00,63
407,2019-01-15,10:45:00,41
408,2019-01-15,11:00:00,43
409,2019-01-15,11:15:00,76
410,2019-01-15,11:30:00,83
411,2019-01-15,11:45:00,72
412,2019-01-15,12:00:00,86
413,2019-01-15,12:15:00,77
414,2019-01-15,12:30:00,93
415,2019-01-15,12:45:00,87
416,2019-01-15,13:00:00,61
417,2019-01-15,13:15:00,59
418,2019-01-15,13:30:00,61
419,2019-01-15,13:45:00,64
420,2019-01-15,14:00:00,59
421,2019-01-15,14:15:00,56
422,2019-01-15,14:30:00,68
423,2019-01-15,14:45:00,50
424,2019-01-15,15:00:00,46
425,2019-01-15,15:15:00,57
426,2019-01-15,15:30:00,58
427,2019-01-15,15:45:00,36
428,2019-01-15,16:00:00,47
429,2019-01-15,16:15:00,47
430,2019-01-15,16:30:00,42
431,2019-01-15,16:45:00,39
432,2019-01-15,17:00:00,24
433,2019-01-15,17:15:00,23
434,2019-01-15,17:30:00,33
435,2019-01-15,17:45:00,19
436,2019-01-15,18:00:00,20
437,2019-01-15,18:15:00,15
438,2019-01-15,18:30:00,17
439,2019-01-15,18:45:00,8
440,2019-01-15,19:00:00,10
441,2019-01-15,19:15:00,15
442,2019-01-15,19:30:00,4
443,2019-01-15,19:45:00,3
444,2019-01-15,20:00:00,1
445,2019-01-15,20:15:00,4
446,2019-01-15,20:30:00,5
447,2019-01-15,20:45:00,2
448,2019-01-16,06:30:00,4
449,2019-01-16,07:00:00,8
450,2019-01-16,07:15:00,13
451,2019-01-16,07:30:00,12
452,2019-01-16,07:45:00,21
453,2019-01-16,08:00:00,29
454,2019-01-16,08:15:00,32
455,2019-01-16,08:30:00,20
456,2019-01-16,08:45:00,19
457,2019-01-16,09:00:00,41
458,2019-01-16,09:15:00,59
459,2019-01-16,09:30:00,77
460,2019-01-16,09:45:00,43
461,2019-01-16,10:00:00,50
462,2019-01-16,10:15:00,85
463,2019-01-16,10:30:00,93
464,2019-01-16,10:45:00,41
465,2019-01-16,11:00:00,66
466,2019-01-16,11:15:00,56
467,2019-01-16,11:30:00,102
468,2019-01-16,11:45:00,54
469,2019-01-16,12:00:00,56
470,2019-01-16,12:15:00,98
471,2019-01-16,12:30:00,108
472,2019-01-16,12:45:00,76
473,2019-01-16,13:00:00,78
474,2019-01-16,13:15:00,73
475,2019-01-16,13:30:00,88
476,2019-01-16,13:45:00,59
477,2019-01-16,14:00:00,47
478,2019-01-16,14:15:00,58
479,2019-01-16,14:30:00,67
480,2019-01-16,14:45:00,45
481,2019-01-16,15:00:00,41
482,2019-01-16,15:15:00,34
483,2019-01-16,15:30:00,68
484,2019-01-16,15:45:00,27
485,2019-01-16,16:00:00,38
486,2019-01-16,16:15:00,46
487,2019-01-16,16:30:00,59
488,2019-01-16,16:45:00,31
489,2019-01-16,17:00:00,42
490,2019-01-16,17:15:00,36
491,2019-01-16,17:30:00,31
492,2019-01-16,17:45:00,28
493,2019-01-16,18:00:00,16
494,2019-01-16,18:15:00,19
495,2019-01-16,18:30:00,15
496,2019-01-16,18:45:00,9
497,2019-01-16,19:00:00,9
498,2019-01-16,19:15:00,14
499,2019-01-16,19:30:00,12
500,2019-01-16,19:45:00,4
501,2019-01-16,20:00:00,7
502,2019-01-16,20:15:00,2
503,2019-01-16,20:45:00,2
504,2019-01-17,06:15:00,1
505,2019-01-17,06:30:00,3
506,2019-01-17,07:00:00,9
507,2019-01-17,07:15:00,7
508,2019-01-17,07:30:00,12
509,2019-01-17,07:45:00,11
510,2019-01-17,08:00:00,38
511,2019-01-17,08:15:00,31
512,2019-01-17,08:30:00,18
513,2019-01-17,08:45:00,28
514,2019-01-17,09:00:00,26
515,2019-01-17,09:15:00,52
516,2019-01-17,09:30:00,61
517,2019-01-17,09:45:00,57
518,2019-01-17,10:00:00,71
519,2019-01-17,10:15:00,84
520,2019-01-17,10:30:00,68
521,2019-01-17,10:45:00,34
522,2019-01-17,11:00:00,55
523,2019-01-17,11:15:00,73
524,2019-01-17,11:30:00,90
525,2019-01-17,11:45:00,60
526,2019-01-17,12:00:00,81
527,2019-01-17,12:15:00,92
528,2019-01-17,12:30:00,75
529,2019-01-17,12:45:00,75
530,2019-01-17,13:00:00,76
531,2019-01-17,13:15:00,86
532,2019-01-17,13:30:00,60
533,2019-01-17,13:45:00,61
534,2019-01-17,14:00:00,61
535,2019-01-17,14:15:00,73
536,2019-01-17,14:30:00,54
537,2019-01-17,14:45:00,49
538,2019-01-17,15:00:00,54
539,2019-01-17,15:15:00,45
540,2019-01-17,15:30:00,48
541,2019-01-17,15:45:00,38
542,2019-01-17,16:00:00,39
543,2019-01-17,16:15:00,33
544,2019-01-17,16:30:00,43
545,2019-01-17,16:45:00,34
546,2019-01-17,17:00:00,30
547,2019-01-17,17:15:00,39
548,2019-01-17,17:30:00,31
549,2019-01-17,17:45:00,19
550,2019-01-17,18:00:00,11
551,2019-01-17,18:15:00,12
552,2019-01-17,18:30:00,11
553,2019-01-17,18:45:00,3
554,2019-01-17,19:00:00,9
555,2019-01-17,19:15:00,13
556,2019-01-17,19:30:00,12
557,2019-01-17,19:45:00,5
558,2019-01-17,20:00:00,5
559,2019-01-17,20:15:00,4
560,2019-01-17,20:30:00,6
561,2019-01-18,06:45:00,4
562,2019-01-18,07:00:00,9
563,2019-01-18,07:15:00,11
564,2019-01-18,07:30:00,18
565,2019-01-18,07:45:00,19
566,2019-01-18,08:00:00,25
567,2019-01-18,08:15:00,39
568,2019-01-18,08:30:00,22
569,2019-01-18,08:45:00,21
570,2019-01-18,09:00:00,49
571,2019-01-18,09:15:00,42
572,2019-01-18,09:30:00,75
573,2019-01-18,09:45:00,34
574,2019-01-18,10:00:00,53
575,2019-01-18,10:15:00,78
576,2019-01-18,10:30:00,77
577,2019-01-18,10:45:00,38
578,2019-01-18,11:00:00,49
579,2019-01-18,11:15:00,70
580,2019-01-18,11:30:00,82
581,2019-01-18,11:45:00,51
582,2019-01-18,12:00:00,55
583,2019-01-18,12:15:00,93
584,2019-01-18,12:30:00,93
585,2019-01-18,12:45:00,53
586,2019-01-18,13:00:00,69
587,2019-01-18,13:15:00,68
588,2019-01-18,13:30:00,67
589,2019-01-18,13:45:00,50
590,2019-01-18,14:00:00,44
591,2019-01-18,14:15:00,50
592,2019-01-18,14:30:00,34
593,2019-01-18,14:45:00,33
594,2019-01-18,15:00:00,37
595,2019-01-18,15:15:00,22
596,2019-01-18,15:30:00,28
597,2019-01-18,15:45:00,18
598,2019-01-18,16:00:00,19
599,2019-01-18,16:15:00,16
600,2019-01-18,16:30:00,15
601,2019-01-18,16:45:00,13
602,2019-01-18,17:00:00,16
603,2019-01-18,17:15:00,25
604,2019-01-18,17:30:00,6
605,2019-01-18,17:45:00,8
606,2019-01-18,18:00:00,9
607,2019-01-18,18:15:00,4
608,2019-01-18,18:30:00,11
609,2019-01-18,18:45:00,7
610,2019-01-18,19:00:00,6
611,2019-01-18,19:15:00,5
612,2019-01-18,19:30:00,5
613,2019-01-18,19:45:00,2
614,2019-01-18,20:00:00,5
615,2019-01-18,20:15:00,1
616,2019-01-19,07:30:00,2
617,2019-01-19,08:00:00,2
618,2019-01-19,08:15:00,3
619,2019-01-19,08:30:00,5
620,2019-01-19,08:45:00,1
621,2019-01-19,09:00:00,1
622,2019-01-19,09:15:00,2
623,2019-01-19,09:30:00,2
624,2019-01-19,09:45:00,3
625,2019-01-19,10:15:00,1
626,2019-01-19,10:30:00,7
627,2019-01-19,10:45:00,2
628,2019-01-19,11:00:00,1
629,2019-01-19,11:15:00,6
630,2019-01-19,11:30:00,7
631,2019-01-19,11:45:00,14
632,2019-01-19,12:00:00,25
633,2019-01-19,12:15:00,10
634,2019-01-19,12:30:00,13
635,2019-01-19,12:45:00,9
636,2019-01-19,13:00:00,10
637,2019-01-19,13:15:00,5
638,2019-01-19,13:30:00,8
639,2019-01-19,13:45:00,8
640,2019-01-19,14:00:00,4
641,2019-01-19,14:15:00,11
642,2019-01-19,14:30:00,6
643,2019-01-19,14:45:00,8
644,2019-01-19,15:00:00,6
645,2019-01-19,15:15:00,7
646,2019-01-19,15:30:00,4
647,2019-01-19,15:45:00,8
648,2019-01-19,16:00:00,8
649,2019-01-19,16:15:00,6
650,2019-01-19,16:30:00,6
651,2019-01-19,16:45:00,2
652,2019-01-19,17:00:00,2
653,2019-01-19,17:15:00,3
654,2019-01-19,17:30:00,8
655,2019-01-19,18:00:00,1
656,2019-01-19,18:15:00,1
657,2019-01-19,18:30:00,2
658,2019-01-19,18:45:00,1
659,2019-01-19,19:00:00,2
660,2019-01-19,19:15:00,4
661,2019-01-19,19:30:00,2
662,2019-01-19,19:45:00,5
663,2019-01-19,20:00:00,3
664,2019-01-19,20:15:00,2
665,2019-01-22,07:00:00,5
666,2019-01-22,07:15:00,7
667,2019-01-22,07:30:00,12
668,2019-01-22,07:45:00,19
669,2019-01-22,08:00:00,24
670,2019-01-22,08:15:00,22
671,2019-01-22,08:30:00,24
672,2019-01-22,08:45:00,20
673,2019-01-22,09:00:00,28
674,2019-01-22,09:15:00,57
675,2019-01-22,09:30:00,52
676,2019-01-22,09:45:00,57
677,2019-01-22,10:00:00,62
678,2019-01-22,10:15:00,84
679,2019-01-22,10:30:00,75
680,2019-01-22,10:45:00,47
681,2019-01-22,11:00:00,54
682,2019-01-22,11:15:00,74
683,2019-01-22,11:30:00,91
684,2019-01-22,11:45:00,67
685,2019-01-22,12:00:00,66
